imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SHITOMASI,BRISK,0.0156739,0.00228665,118,95,0.0179605
2,SHITOMASI,BRISK,0.0137528,0.00169345,123,88,0.0154463
3,SHITOMASI,BRISK,0.0136902,0.00211216,120,80,0.0158024
4,SHITOMASI,BRISK,0.0142483,0.00230343,120,90,0.0165518
5,SHITOMASI,BRISK,0.0128431,0.00153409,113,82,0.0143772
6,SHITOMASI,BRISK,0.0134136,0.00203034,114,79,0.0154439
7,SHITOMASI,BRISK,0.014242,0.00216947,123,85,0.0164115
8,SHITOMASI,BRISK,0.0129268,0.00151578,111,86,0.0144425
9,SHITOMASI,BRISK,0.0132773,0.00203333,112,82,0.0153106
,,,,,,,0.0143772
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,HARRIS,BRISK,0.0152886,0.000954255,14,12,0.0162429
2,HARRIS,BRISK,0.0148221,0.00102427,18,10,0.0158463
3,HARRIS,BRISK,0.0157167,0.000551673,21,14,0.0162684
4,HARRIS,BRISK,0.0142859,0.00107831,26,15,0.0153642
5,HARRIS,BRISK,0.0282134,0.0012586,43,16,0.029472
6,HARRIS,BRISK,0.0133614,0.000511537,18,16,0.0138729
7,HARRIS,BRISK,0.0155932,0.0011812,31,15,0.0167744
8,HARRIS,BRISK,0.0151335,0.00059768,26,23,0.0157312
9,HARRIS,BRISK,0.0201653,0.00119535,34,21,0.0213606
,,,,,,,0.0138729
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,FAST,BRISK,0.00163801,0.00245541,152,97,0.00409343
2,FAST,BRISK,0.00124498,0.00192341,150,104,0.00316839
3,FAST,BRISK,0.00156578,0.00197402,155,101,0.0035398
4,FAST,BRISK,0.00214318,0.00210031,149,98,0.00424349
5,FAST,BRISK,0.00176368,0.00192366,149,85,0.00368734
6,FAST,BRISK,0.00107211,0.00251529,156,107,0.0035874
7,FAST,BRISK,0.00132849,0.00191504,150,107,0.00324353
8,FAST,BRISK,0.00124755,0.00196156,138,100,0.00320911
9,FAST,BRISK,0.00105856,0.00237243,143,100,0.00343098
,,,,,,,0.00316839
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,BRISK,BRISK,0.0423207,0.00337169,282,171,0.0456924
2,BRISK,BRISK,0.0418929,0.00338438,282,176,0.0452772
3,BRISK,BRISK,0.042945,0.00338794,277,157,0.046333
